epoch,accuracy,loss,val_accuracy,val_loss
0,0.897849440574646,0.23510895669460297,0.9028213024139404,0.2466364949941635
1,0.8985214829444885,0.2348918467760086,0.9043887257575989,0.24605979025363922
2,0.8965053558349609,0.23437292873859406,0.9028213024139404,0.24678142368793488
3,0.8971773982048035,0.2345491498708725,0.9043887257575989,0.2461082935333252
4,0.8965053558349609,0.23465293645858765,0.9043887257575989,0.24615059792995453
5,0.897849440574646,0.23473015427589417,0.9012539386749268,0.24711936712265015
6,0.8985214829444885,0.2342340648174286,0.9028213024139404,0.24648502469062805
7,0.8998655676841736,0.2344408929347992,0.9028213024139404,0.24651363492012024
8,0.8998655676841736,0.23410077393054962,0.8996865153312683,0.2481357455253601
9,0.8971773982048035,0.23417474329471588,0.8996865153312683,0.24818429350852966
10,0.9025537371635437,0.2341940701007843,0.8996865153312683,0.24873557686805725
11,0.8965053558349609,0.23431575298309326,0.8996865153312683,0.24685092270374298
12,0.899193525314331,0.23434075713157654,0.9012539386749268,0.24721482396125793
13,0.897849440574646,0.23408713936805725,0.8996865153312683,0.2479025423526764
14,0.8985214829444885,0.23382732272148132,0.8996865153312683,0.24832414090633392
15,0.897849440574646,0.23417708277702332,0.8996865153312683,0.2490854114294052
16,0.8971773982048035,0.23392751812934875,0.9012539386749268,0.24683643877506256
17,0.8965053558349609,0.23377522826194763,0.8996865153312683,0.24789820611476898
18,0.8985214829444885,0.23378127813339233,0.8996865153312683,0.2477852702140808
19,0.897849440574646,0.23442046344280243,0.9012539386749268,0.24647632241249084
20,0.897849440574646,0.23393113911151886,0.9012539386749268,0.2462303638458252
21,0.897849440574646,0.23431864380836487,0.8996865153312683,0.2478131204843521
22,0.8971773982048035,0.23298700153827667,0.9028213024139404,0.24581633508205414
23,0.8951612710952759,0.23393701016902924,0.9028213024139404,0.24595443904399872
24,0.899193525314331,0.23344960808753967,0.9012539386749268,0.2463233321905136
25,0.8998655676841736,0.23301567137241364,0.9012539386749268,0.2466365098953247
26,0.8985214829444885,0.2334279716014862,0.8996865153312683,0.24818772077560425
27,0.897849440574646,0.23371854424476624,0.9012539386749268,0.24712558090686798
28,0.8985214829444885,0.23342663049697876,0.9043887257575989,0.24530792236328125
29,0.8985214829444885,0.23360158503055573,0.9043887257575989,0.24517443776130676
30,0.9005376100540161,0.23337620496749878,0.9012539386749268,0.2463521659374237
31,0.8971773982048035,0.23348289728164673,0.9012539386749268,0.24673528969287872
32,0.8958333134651184,0.23327915370464325,0.8981191515922546,0.24848036468029022
33,0.8965053558349609,0.23285849392414093,0.9028213024139404,0.24536781013011932
34,0.897849440574646,0.23398169875144958,0.8996865153312683,0.24661950767040253
35,0.8985214829444885,0.23319359123706818,0.8996865153312683,0.24710245430469513
36,0.897849440574646,0.2328699827194214,0.9028213024139404,0.24560756981372833
37,0.8958333134651184,0.2326914221048355,0.9028213024139404,0.24575093388557434
38,0.8958333134651184,0.23304082453250885,0.8996865153312683,0.24728915095329285
39,0.8938171863555908,0.23291289806365967,0.9012539386749268,0.24568405747413635
40,0.8998655676841736,0.2327975183725357,0.9043887257575989,0.24494723975658417
41,0.8985214829444885,0.2327595204114914,0.9028213024139404,0.24507851898670197
